`,0.695862055
q,0.783458948
w,0.362870932
e,0.345182896
r,0.35103488
t,0.385934114
y,0.40093708
u,0.362910032
i,0.373847961
o,0.341072798
p,0.406863689
a,0.397984982
s,0.393100023
d,0.383892775
f,0.351886034
g,0.36386919
h,0.359014988
j,0.378090143
k,0.349103928
l,0.355787039
z,0.361998081
x,0.418063641
c,0.412924767
v,0.376939058
b,0.329012871
n,0.343729258
m,0.363090992
space,0.350919008
p,0.404316902
r,0.359615803
o,0.341366053
s,0.373513937
i,0.292089939
n,0.384129047
g,0.316868305
l,0.361082792
y,0.375752926
space,0.350928068
k,0.299948692
o,0.350901842
n,0.359215736
g,0.35397315
o,0.32798624
l,0.344851971
e,0.313799858
s,0.378006935
e,0.346179008
space,0.325093031
s,0.346574783
u,0.335052013
c,0.311022758
c,0.381506205
o,0.314339161
t,0.382969856
h,0.330149889
space,0.333847046
k,0.375804901
i,0.356124163
t,0.330982924
c,0.375048161
h,0.321910143
e,0.343830824
n,0.314120293
e,0.335860014
t,0.346047878
t,0.354955196
e,0.340978861
s,0.323065281
space,0.351037025
i,0.303931952
s,0.334782124
o,0.32407999
g,0.362823963
e,0.355056763
n,0.347886086
space,0.330070019
b,0.343819141
a,0.362073183
r,0.33614397
g,0.332905054
e,0.334856033
l,0.318054914
l,0.332933664
i,0.31507802
space,0.305697918
e,0.360058308
a,0.360916853
r,0.33126092
o,0.34274888
c,0.344923019
k,0.33328104
space,0.337721109
i,0.376499891
r,0.340334654
k,0.325977087
space,0.339443922
g,0.305498123
a,0.336986065
m,0.396941185
d,0.347120762
e,0.353114128
b,0.346716166
o,0.331918955
o,0.340991974
space,0.307043076
p,0.380926847
e,0.368119717
r,0.338879108
i,0.307703972
s,0.376311064
t,0.382813931
e,0.368873119
r,0.319958925
o,0.289724827
p,0.340559006
o,0.355762243
d,0.339935064
space,0.312071323
m,0.307852745
i,0.340371847
s,0.225501776
c,0.445010185
a,0.348104
s,0.305813074
t,0.388262987
space,0.321734905
n,0.296129942
i,0.356924772
t,0.324996948
r,0.406881809
o,0.315063953
s,0.362749815
y,0.229912996
l,0.435005188
s,0.343101025
u,0.366068125
l,0.341880083
p,0.344802141
h,0.371945858
u,0.340134859
r,0.363903999
i,0.332162142
c,0.326855898
space,0.360972166
p,0.346644163
o,0.333986998
l,0.27712512
y,0.404963732
c,0.341085196
r,0.398955107
a,0.327217102
c,0.341692924
y,0.334894896
space,0.335828066
h,0.347577095
u,0.318659782
r,0.346918106
r,0.333762169
a,0.368021011
h,0.351000071
s,0.335993052
space,0.390856981
e,0.310771942
x,0.371452808
p,0.324777842
e,0.351043701
c,0.382845879
t,0.313956022
o,0.293866873
r,0.386145592
a,0.28194499
n,0.340769053
t,0.347311974
