`,0.851989031
q,0.557893753
w,0.359140158
e,0.335638046
r,0.335244656
t,0.365897894
y,0.364809275
u,0.322935104
i,0.363093138
o,0.339994192
p,0.366858006
a,0.424124002
s,0.352777958
d,0.351159811
f,0.30894804
g,0.404761314
h,0.368101835
j,0.344012976
k,0.381072044
l,0.336894989
z,0.357852936
x,0.340170145
c,0.326943874
v,0.340889215
b,0.337813139
n,0.340026855
m,0.341157913
space,0.335757017
f,0.34999299
l,0.340910196
e,0.357053995
d,0.343216896
g,0.341815948
l,0.287983894
i,0.353998899
n,0.372683764
g,0.327269316
s,0.316880941
space,0.326149225
m,0.347751141
e,0.283154011
s,0.354798079
i,0.325933695
o,0.343901873
b,0.357989073
u,0.307977915
c,0.324069023
c,0.354758024
a,0.304090023
l,0.348129034
space,0.339091778
v,0.305668831
i,0.339786053
a,0.360049248
m,0.374498129
e,0.299483061
t,0.359980822
e,0.365074158
r,0.329112053
space,0.363888979
u,0.317929268
n,0.323089123
t,0.306770802
h,0.35597086
a,0.293049812
w,0.368013144
i,0.395893097
n,0.32476902
g,0.310227156
space,0.354808807
s,0.318078041
m,0.320914984
a,0.275002241
t,0.350077868
t,0.327870846
e,0.312790155
r,0.292051077
i,0.389052868
n,0.331957102
g,0.320962191
space,0.340953112
m,0.336023092
a,0.418756008
g,0.341027975
e,0.332017899
n,0.315043211
t,0.354063034
a,0.299862862
s,0.318867922
space,0.352013111
u,0.346163273
n,0.346831083
e,0.296815872
l,0.311039925
e,0.355974197
m,0.315995932
e,0.340984106
n,0.327907085
t,0.335214138
a,0.332687855
l,0.340116978
space,0.326971769
u,0.354022741
n,0.351914883
c,0.285867929
o,0.374134064
m,0.325103998
m,0.330882072
e,0.304682016
n,0.345953941
d,0.332049131
a,0.347904205
b,0.368881941
l,0.338147879
e,0.30414629
space,0.370722771
e,0.299966097
x,0.334064245
s,0.338937759
u,0.448996067
l,0.278024912
p,0.358921766
space,0.353776932
m,0.51119113
o,0.291840076
l,0.343025923
l,0.287018061
u,0.341893911
s,0.302971125
k,0.349854946
space,0.316016912
l,0.318925142
w,0.427023888
p,0.339030027
space,0.35700202
u,0.316883802
n,0.35502696
d,0.308171988
o,0.32773304
g,0.335039139
m,0.293024063
a,0.299853802
t,0.346803188
i,0.31812501
c,0.358151913
space,0.375051022
d,0.326802969
i,0.317872047
s,0.347047091
t,0.351719856
r,0.330960274
e,0.303217888
s,0.350903034
s,0.33788085
i,0.308076143
n,0.3452878
g,0.316718102
space,0.383733988
s,0.454052925
h,0.347047091
u,0.374928236
c,0.356829166
k,0.320066929
e,0.353164196
r,0.387788057
s,0.31242609
space,0.335443974
c,0.35491395
o,0.345101118
n,0.312278032
s,0.338791847
u,0.320794106
m,0.347279072
m,0.295658827
a,0.335870981
t,0.361214876
i,0.309947968
o,0.333830833
n,0.342972755
s,0.36814189
